MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Price
2.8853422673922067,41.0,2.6427498905736395,1.0118347314702751,17.944358444926362,1.5986105077709065,4.526
2.8812150214796532,21.0,2.497626289620017,0.9858399931486794,49.0,1.452529458485443,3.585
2.3755209954870953,52.0,2.411918654966107,1.0358857855625752,23.62202362203543,1.5962284314844952,3.413
1.961173118314648,52.0,2.5063625599368664,1.0397504898200727,23.769728648009426,1.4769790727925638,3.422
2.0091789367798976,52.0,2.182122368495425,1.0505365024620426,20.322401432901575,1.4628384644440393,2.697
1.9128774137408806,52.0,2.2207896376707974,0.9753778076746877,33.075670817082454,1.4589052982495816,2.992
1.4423591785682233,42.0,2.072225288683357,1.0571882797418488,34.72751070837067,1.423689136118739,2.267
1.9212495933636524,52.0,2.229481606852615,0.9950859653474028,39.382737335030434,1.4738619024735746,2.611
1.7897206485929584,52.0,2.3404298622899398,1.0390389742688921,30.166206257996713,1.504553618865011,2.815
1.8084523770340208,52.0,2.1846005502225565,1.0121873150573182,38.781438859330635,1.4314490286160684,2.418
1.7535677916750183,52.0,2.3070868151522976,1.0063898413738648,33.13608305156178,1.5317159809030676,2.135
1.6351146748775756,52.0,2.0,1.0477123409721236,18.57417562100671,1.408104619937615,1.913
1.3844493490193133,52.0,2.0646799330178154,1.004827059426068,34.813790371058424,1.3981554669196912,1.592
1.4577379737113252,50.0,2.059714602177749,1.0353596944877161,26.40075756488817,1.6248543058229914,1.4
1.665833124895768,52.0,2.4371247484022898,1.0238839624586666,28.160255680657446,1.5478276366408648,1.525
1.4560906565183365,52.0,2.013158036649893,0.9833599034280212,25.45584412271571,1.4624000346642976,1.555
1.4110634287656951,50.0,2.3116391192530674,1.0420743036920517,31.464265445104548,1.5371299543044654,1.587
1.6134745117292681,52.0,2.337831162734928,1.04097856060361,26.267851073127396,1.5840110192454184,1.629
1.1652467549836816,40.0,2.1269923332118923,1.0528217963833002,20.223748416156685,1.5696672964952627,1.475
1.3090072574283154,42.0,2.1161621101661217,1.0013651883489652,30.479501308256342,1.593189055360417,1.598
